Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
1,2,15800,5529,1136,89,2781,8139
2,2,10047,2144,6675,287,3591,311
2,2,2525,4889,4505,28445,2597,340
1,1,16384,3433,964,984,365,316
2,1,5983,3859,10001,88,775,687
2,1,28150,7016,22286,317,149,2414
2,3,7817,2340,2544,35644,2800,354
2,2,9165,7622,724,777,17207,2445
1,3,53259,19289,2252,7264,86,926
2,1,107112,5670,12580,2090,427,330
1,2,21720,1840,8985,1010,1019,185
2,3,7426,2175,1781,4584,1737,227
2,2,6804,3139,26194,103,5007,493
2,3,4364,2219,21657,320,1066,771
1,2,5296,1493,2194,1001,833,3015
2,1,7528,4695,2169,360,7007,1843
1,1,70562,3225,2560,900,3615,421
2,2,8125,4864,2812,5036,3006,1296
1,3,2904,13179,13982,2118,1585,3969
2,1,10318,3176,7846,8926,5853,4848
1,1,11826,1229,12897,2285,500,676
1,1,10256,2700,10310,5948,407,2126
2,2,22019,8694,32402,1674,4101,3136
1,2,10604,7917,1532,890,117,231
2,3,21348,6759,7468,10685,1538,566
2,3,4535,2154,449,771,833,6621
2,3,58731,8534,1154,2731,162,684
2,2,12739,10688,4526,4549,331,64
2,2,14768,2007,7785,4963,1137,805
2,3,4516,3860,4394,446,6316,2470
2,3,15864,30345,2633,6389,502,903
2,2,18978,1920,3202,558,8267,1709
2,3,3072,731,22167,4783,1472,2088
2,1,1883,16041,3221,3436,9562,652
2,2,13275,12539,33663,4828,540,562
1,3,6070,2547,11771,425,1244,1030
1,2,12834,3593,8129,3661,2327,1053
2,1,2721,1182,1322,6652,1023,942
2,2,2078,4398,13749,2280,5594,978
2,2,12169,12912,2855,676,48,457
2,2,6975,2338,1320,5451,50696,1763
2,2,1199,9673,8639,2072,4849,1539
2,1,37914,6397,1067,242,1032,269
2,2,2676,7171,2125,616,584,632
2,2,129744,2479,4860,961,365,976
1,3,5302,2822,56402,11014,3527,555
2,2,14787,634,2308,8921,5957,1593
1,3,51377,2283,2968,8887,1049,845
2,1,43452,12880,10999,2389,7047,1045
2,1,72123,1588,1258,5411,343,626
1,1,2157,1844,7999,459,263,149
2,1,3178,7632,18518,1822,20333,141
1,3,12406,6019,3505,3108,3250,1526
2,2,22919,8021,15195,497,10886,1141
2,1,9786,1257,6772,2325,372,1332
1,2,1923,52263,2200,13683,335,1013
2,3,16261,1193,3953,3535,782,1089
1,3,8149,4694,3236,5437,389,2147
2,3,8052,3433,4463,95,3858,1339
1,1,1014,1228,5813,11725,434,2291
1,2,21971,2778,9386,1446,231,1047
2,2,11443,4118,8600,718,1657,685
2,2,59585,2100,338,1466,193,1069
1,3,9186,10272,4415,304,90,423
2,1,17436,3423,934,6358,1635,637
2,3,22738,1052,3628,1208,97,1053
2,3,1726,966,4289,745,4285,1040
1,2,135496,7377,14382,1477,165,815
1,3,6433,909,4754,6916,46,257
1,2,16229,5521,6536,2116,862,1592
1,1,18780,6277,11758,333,1663,1902
1,2,4381,1487,18968,3158,2799,3941
1,1,62754,9805,4292,593,1733,1336
1,2,12912,722,5451,136,273,899
1,3,7994,5412,4969,10885,3903,360
1,3,11367,3862,2705,3129,5654,3438
2,1,21252,3572,2109,1645,219,1122
1,1,10004,1239,403,1194,1020,1068
2,1,23907,1576,1503,9667,887,714
2,2,1835,20308,694,73466,1864,674
2,2,4684,13563,19549,3098,984,1668
1,1,1165,8451,6046,525,1209,358
1,3,72911,10299,4278,1502,3507,3877
1,2,71969,9376,2232,3031,251,3186
1,2,18520,2912,5078,107,4048,652
2,2,3595,4220,1933,2701,7418,412
1,1,107999,922,5951,3052,15540,146
1,1,5407,3678,6440,8880,53,291
1,1,7996,13139,1905,7836,1018,1731
1,1,11608,2078,1865,2066,70,1192
1,1,15545,11194,14163,11131,34,1400
2,3,18841,4409,4637,20802,1662,170
1,3,19613,1006,2081,1869,736,628
2,1,8565,1329,3269,2986,2100,3073
1,2,19304,10090,1617,216,2777,823
2,1,8191,6992,4564,316,8706,285
1,3,17664,4454,12268,661,1452,812
1,3,16273,3059,4767,1061,107477,448
2,2,21223,4966,66170,485,2120,1212
2,3,18731,9704,7812,1731,21241,914
2,1,6358,17603,6329,1100,40,1464
1,2,15657,18465,1809,6535,10143,300
2,1,19022,5836,3780,1022,1021,599
1,1,2721,3388,2086,116,72,2395
1,2,7524,4657,453,2102,2516,265
2,1,18180,6782,14352,1777,850,364
2,3,54682,6755,2800,642,3197,1074
1,1,22581,14883,2129,2026,6103,1162
1,2,58242,33381,6195,497,143,578
2,2,6645,3277,8636,2685,6138,698
2,2,12710,34748,3453,42595,1352,1450
2,1,22153,12993,4900,207,10191,1928
1,2,966,3637,11167,973,984,342
1,2,44837,18007,3306,802,661,1246
1,1,1539,21712,6853,1075,1394,3501
1,3,26820,2539,792,6148,1560,808
1,1,19669,22747,1254,3468,495,339
1,2,953,11790,9567,5006,636,325
2,2,1003,42982,1184,1875,212,776
1,1,41459,2633,6358,369,697,2280
1,3,33346,2825,4180,474,3693,865
1,2,4101,530,3291,4427,1090,1064
2,2,4097,7123,1975,2219,6085,366
1,2,16524,5856,13363,8202,1014,2175
1,1,9771,2291,32954,2570,156,320
2,2,28407,3707,6837,437,3281,570
1,3,15987,1084,7007,966,487,1582
1,2,48195,13338,2320,3560,943,143
1,2,26110,2465,1318,4240,8572,1050
1,3,20348,88791,4704,5044,234,352
1,2,6959,3375,1683,513,1714,911
2,1,6468,1882,699,427,1260,654
2,1,9397,2664,11894,1439,3832,5974
2,1,62376,980,12548,10179,4830,630
1,3,6592,6517,1910,786,1989,4714
1,2,12842,2644,6427,3121,780,1522
1,1,1048,12472,14796,3121,2724,436
2,3,19454,3057,6158,4504,9931,1209
1,2,94579,16065,1322,13324,1285,682
1,3,3890,8582,3804,11781,897,1116
2,1,236674,4140,21152,885,2397,472
1,1,11875,19540,6449,145,1419,4109
2,1,755,10428,8893,800,180,2064
2,3,6730,76589,7156,1979,1917,923
2,3,37437,2671,1917,1171,177,4256
1,1,73080,4344,2482,19177,2348,959
1,3,20294,19316,7134,1849,405,2411
1,1,47457,859,12070,3961,1415,929
1,1,3047,15017,16479,2346,2406,1279
1,2,5012,6243,1912,1192,53149,834
1,3,1845,1655,7914,179,4081,978
1,1,5404,1029,18137,1645,10375,1046
2,1,21203,2053,1659,89821,22194,491
1,3,12242,409,25220,406,2790,625
2,2,23572,2466,29817,204,2056,738
1,2,3879,7499,88220,18465,270,1104
1,1,4123,2499,6336,4405,1124,873
1,3,12144,16128,6374,2264,452,2580
2,2,5417,21161,12206,9276,733,1924
2,3,36382,14409,11820,666,22158,752
2,3,5284,5067,16966,1590,1590,3113
2,1,6030,393,11642,5688,360,4845
1,2,15045,1990,4373,22752,10528,142
2,1,6705,3491,18848,444,5613,2077
1,2,2878,1646,1512,8407,6072,481
1,2,3296,3499,4946,2858,66,1845
2,2,16945,20132,27449,2198,24909,2736
2,2,2543,776,1242,1791,579,407
2,2,40021,24629,2332,343,4302,169
2,3,4962,9747,10289,5742,59024,1904
2,1,18328,5261,7580,707,33962,1014
2,3,5268,1971,1877,494,309,200
2,2,3963,1679,3109,5232,153,8748
2,1,12658,791,1340,4660,11447,1574
1,2,28333,22398,14451,1987,1657,1641
2,1,7728,18724,3709,6604,631,3069
2,3,9269,986,35290,10007,3401,532
1,1,22190,2315,5373,8689,1049,1009
2,1,22937,6205,3859,959,3835,273
1,1,9523,2982,3468,6105,1480,519
1,1,6351,590,3757,2330,3958,1270
2,1,10749,2084,5551,14344,350,200
1,2,8177,28311,77936,1558,11346,506
1,1,13534,2230,3385,1178,3814,389
1,1,2998,3417,3508,865,3531,1020
1,3,13058,1280,5282,2269,250,1506
2,1,4825,7242,16306,3165,17144,1750
1,3,24486,4514,1029,3239,1312,2205
2,2,5051,1915,8107,2749,3992,3086
1,1,5140,1091,1999,4045,825,1550
1,3,15450,16391,9032,1384,1980,4907
1,3,10038,807,2855,634,2091,999
1,2,96437,6659,389,571,19,768
2,1,1940,466,7380,5825,3208,1550
2,1,11046,8161,7311,3179,25540,738
1,3,30627,10617,2599,194,3009,4756
1,1,5550,12025,2435,6741,318,2484
2,3,3981,3424,1161,17266,3550,1763
1,1,4142,19614,11503,765,6563,1010
1,3,1974,40448,12970,2706,2889,622
1,1,38166,2917,1868,1024,1198,1687
2,2,7118,2563,2713,3842,931,325
2,1,6323,4671,4584,446,925,3572
2,1,1183,2495,59751,1659,3814,765
1,2,2359,2156,8952,5869,162,1181
1,1,42846,2352,1741,7965,766,395
2,2,13401,22376,6864,3016,14667,1721
2,1,31777,8706,1080,1203,15541,596
2,3,28000,2487,10826,267,145,1610
2,3,3638,345,31042,728,245,1775
1,1,112403,858,31187,1029,892,501
2,1,69545,6657,11030,782,5109,326
1,1,5632,482,2586,1941,86,3564
2,3,279,5393,1174,1199,1233,755
1,1,6928,1386,1053,2222,657,1099
2,3,12560,4410,224,7655,9788,1389
2,2,5609,4289,10543,1110,108,290
2,3,7930,4539,4389,343,1538,1361
2,3,4321,2712,13361,778,742,981
1,2,24875,2624,23643,3642,12145,503
2,3,10547,1957,5485,4078,3282,317
1,1,25629,6528,5770,2943,556,1548
1,1,33597,9001,2949,8611,4817,2477
1,3,1125,1189,3358,1445,747,1054
1,1,4580,3821,10952,21217,5996,246
2,3,5302,4897,4056,4826,938,346
1,1,129491,4835,3460,87,6515,608
1,1,11487,4754,4816,15690,2576,3670
1,3,22304,2691,13029,720,178213,719
2,1,1509,5318,2294,522,1237,588
2,3,11421,7465,4567,3389,2378,199
2,1,26325,4633,6436,224,652,497
2,1,23434,6673,17610,784,1344,295
1,2,18460,10833,3777,11713,23,363
1,2,10026,632,2231,3524,2692,1000
2,3,10525,10336,2884,4791,10039,625
1,2,1820,5667,15652,821,2428,4144
1,3,4021,1323,46011,285,186,2368
1,2,12468,8977,1158,4222,402,519
2,1,4836,2701,1473,5520,34,393
2,3,19709,3096,4081,5229,5816,3116
1,3,15784,2421,5552,2323,295,3999
2,1,38846,5444,11680,566,1282,124
2,3,25803,1834,1844,33702,1063,976
2,3,12422,9911,1526,3215,12476,715
2,2,20909,3502,5720,1467,1522,1610
2,3,27040,2795,3698,1475,4506,5158
1,1,5958,8543,13621,2163,3040,580
2,2,7120,2923,8400,6525,10291,140
1,2,8983,10385,9053,2270,935,1511
1,1,6151,10717,4381,5065,22124,3136
2,1,27328,1059,65587,2168,68,683
1,2,5285,12200,1955,1579,4847,476
1,3,34601,932,9622,3902,365,605
1,2,6857,12985,1216,3729,639,1929
2,1,15873,30587,1508,1475,3146,596
2,2,11689,9651,2519,735,3109,1206
1,1,3729,465,29503,2724,3326,920
2,2,9702,11655,6570,1986,167,838
2,3,13816,38029,2566,929,11772,1687
2,2,9280,2971,7419,657,346,583
2,2,2584,3886,5108,2958,423,609
1,1,54253,1226,2860,3498,3487,1840
1,1,10804,5497,1057,1173,871,369
2,1,4472,14316,23918,901,2126,406
2,2,50049,8084,6190,667,52,288
1,3,18350,93150,53696,2860,2051,1927
1,1,2980,4158,13826,688,1857,816
2,1,3482,787,9013,26618,623,275
1,2,7923,4774,3045,1105,59,1936
2,1,13323,359,1473,98,973,544
2,3,18449,2361,3868,1743,1266,409
1,3,25595,20422,1426,1656,772,752
1,1,16976,5569,10048,6864,85,3397
2,1,38053,4814,29611,2554,14648,629
2,2,11235,24854,3688,664,513,1506
1,3,4630,3069,13890,1282,959,1727
2,3,9864,14211,2302,2678,36,1338
1,1,9237,4579,3523,134,14651,2818
2,2,751,5884,2005,9012,665,475
1,3,5645,1191,470,666,1552,351
1,3,13550,2484,4721,9901,7194,344
1,2,6475,994,5660,2895,485,788
2,2,5186,3658,15874,3848,5680,382
2,3,24621,5945,11789,7181,60,1025
1,3,3957,1326,11966,3596,3060,962
2,2,20163,31231,1683,4054,14162,2245
1,3,2610,5314,8147,1484,560,1166
1,1,156492,4263,28025,2825,7174,617
2,1,7976,8687,7464,893,20970,1299
2,2,7163,1756,36733,1197,913,355
1,2,31041,4738,45290,19103,807,867
2,2,6511,1964,3658,685,348,1196
2,1,42401,19123,2283,2175,623,1008
1,3,14351,1395,2126,2071,394,1304
1,1,8792,4286,927,1245,347,502
2,3,7902,5593,2778,3351,8088,2532
1,1,33110,5971,18553,3668,409,4628
1,3,12462,2250,435,595,1973,212
2,1,15249,1643,1569,2041,1418,300
1,2,17000,2282,4273,493,12671,933
1,1,11304,6824,1872,4657,629,712
2,3,16645,3484,2751,2234,2372,4948
2,1,8792,8921,2797,1995,4387,1094
1,1,9416,6483,3702,3987,12514,3144
1,1,3232,412,2203,1299,616,141
2,2,13329,5153,2013,5414,530,1868
2,1,1773,38194,13735,579,272,471
2,2,13141,15142,15593,9840,38347,464
2,2,7475,6136,1076,933,10686,718
1,1,14394,1394,236,236,1257,249
2,1,3467,6486,15830,1218,24273,1337
2,1,1188,8431,1271,1063,1149,1065
1,3,6968,3122,6210,1207,3970,1140
2,1,3477,5523,878,2387,1360,1994
1,2,1668,18208,20486,6750,2432,3509
2,1,21332,1707,80662,1436,2074,647
2,3,49081,1396,6009,788,708,1379
2,1,4460,8044,4431,467,6896,1168
1,3,9174,6358,3448,1030,3920,1261
1,3,7275,11258,11614,187,6257,1278
2,1,5120,7113,9176,757,2165,3757
1,2,19220,2280,14821,8045,343,593
1,3,27177,6199,2463,673,17397,227
1,1,4152,1284,7144,3844,903,479
1,1,10350,3132,2706,414,2312,1774
1,2,35758,6652,1535,15143,3474,916
1,3,19713,2805,4697,16401,2289,589
2,3,22872,47479,1781,3674,5287,340
2,1,38870,606,17873,19722,6701,1095
1,1,38362,2327,1904,2770,955,1603
2,2,27684,1575,7331,4546,15339,1182
2,2,11440,1997,2530,8219,897,714
2,3,6751,2115,6665,2243,2219,1024
2,3,10976,1068,2761,280,748,1019
1,1,5799,8541,1232,4659,487,1064
2,3,1404,2328,8367,1026,6414,309
2,2,7483,4738,3793,1122,144761,1072
1,2,14150,2604,6731,2584,778,603
1,1,5501,2016,3066,3567,8291,2290
2,2,8161,21424,1140,2164,821,1011
2,2,8484,10126,16179,3877,1318,1904
2,2,38440,621,11052,774,18701,684
2,2,6908,558,2634,1717,267,706
2,1,38431,11414,5306,5008,179,3445
2,1,656,2392,15463,15174,1175,1329
1,3,38095,773,2972,23195,3624,471
2,2,36221,11449,3526,3039,2685,2012
2,3,24397,4765,6425,4954,2300,555
1,1,1323,5174,2966,19494,1409,1100
1,1,27416,9041,12617,808,4358,4689
1,1,9413,1085,4081,3849,16,247
1,1,788,787,2074,4546,434,766
2,1,36249,19554,9599,10274,1163,1296
2,1,41947,956,1399,461,3853,1786
2,1,1473,1185,45087,585,12514,293
2,2,11794,1447,28022,1855,355,225
2,3,39679,32207,8645,2844,11915,2396
2,1,33865,6590,7881,6956,679,469
1,2,22835,10566,7485,3364,1102,452
2,2,701,4895,2869,1507,3203,3623
1,3,20527,2204,6816,2980,987,955
1,1,7957,7565,1780,2594,7081,961
2,3,26791,848,8554,14676,730,763
1,1,12786,1345,12767,2205,746,298
2,2,9702,8374,3242,1141,6489,1649
1,2,18786,1035,2553,3101,426,1297
2,2,8333,3330,1295,2294,1945,1045
1,2,9659,3485,24434,274,110,808
2,3,5680,2371,2787,1774,20526,690
2,1,1987,571,3949,1602,8183,2041
2,1,17463,2145,6837,941,82880,790
2,3,4420,1763,6703,6264,9972,847
2,1,8096,4728,11172,704,246,1446
1,2,13186,4493,3238,3123,3651,1082
1,1,1230,5872,1404,1514,337,3936
